Year,LU_Area,Agro_F_C_Seq,Agro_S_C_Seq,Ini_F_VegC_Seq,Ini_F_SoilC_Seq,Total_Emissions
2021,3084300.0,0.0,0.0,-1.052906464293203,-0.17270829470276391,-1.2256147589959667
2022,3085977.3333333335,-0.005558408121634644,-0.038963740510033325,-0.9722976323824434,-0.13088841172733104,-1.1477081927414423
2023,3087654.6666666665,-0.018385999844293503,-0.06849273400215744,-0.8977582268162969,-0.09919486700969528,-1.0838318276724432
2024,3089332.0,-0.03443641649430959,-0.09087152631636339,-0.8288467623529111,-0.07517565161972674,-1.029330356783311
2025,3091009.3333333335,-0.0512963706326653,-0.10783147944093213,-0.7651514653292321,-0.05697249027911013,-0.9812518056819396
2026,3092686.6666666665,-0.06759304339371519,-0.12068472039999563,-0.7062886590389493,-0.04317707367566025,-0.9377434965083205
2027,3094364.0,-0.08260667797630873,-0.1304256555275077,-0.6519011701694103,-0.03272210293183276,-0.8976556066050595
2028,3096041.3333333335,-0.09601893890824008,-0.13780790390054432,-0.6016567703288963,-0.02479871675245455,-0.8602823298901353
2029,3097718.6666666665,-0.10775081940786028,-0.14340260197908647,-0.5552466632560303,-0.018793912904900956,-0.825193997547878
2030,3099396.0,-0.11785938057515229,-0.14764259026023238,-0.5123840254857104,-0.014243122569746807,-0.7921291188908419
2031,3099396.025,-0.1209146238520156,-0.11189274072934402,-0.472802605943206,-0.01079426841894579,-0.7164042389435115
2032,3099396.05,-0.1136456314412479,-0.08479942113723321,-0.43625538806703834,-0.008180525732942827,-0.6428809663784623
2033,3099396.075,-0.11042304573910075,-0.06426652446348251,-0.4025133165617094,-0.0061996791880982735,-0.5834025659523909
2034,3099396.1,-0.10961375954181146,-0.04870549864004658,-0.37136408966348533,-0.004698478226240602,-0.5343818260715839
2035,3099396.125,-0.1101772838146762,-0.03691244632380763,-0.34261101686066775,-0.003560780642436702,-0.49326152764158826
2036,3099396.15,-0.11146054576550847,-0.027974983941084025,-0.31607194124748744,-0.0026985671047518103,-0.45820603805883175
2037,3099396.175,-0.1130621193206947,-0.0212016540430552,-0.29157822512293935,-0.0020451314332203437,-0.42788712991990957
2038,3099396.2,-0.11474267461211467,-0.016068429874624736,-0.2689737970033544,-0.0015499197970399315,-0.40133482128713377
2039,3099396.225,-0.11636614460861174,-0.012178173418763157,-0.24811425790102226,-0.0011746195565601504,-0.3778331954849573
2040,3099396.25,-0.11786126560519762,-0.009229910339701414,-0.22886604448779294,-0.0008901951605938121,-0.35684741559328575
2041,3099396.275,-0.12091650888206068,-0.006995544744019015,-0.21110564662254183,-0.0006746417762033158,-0.33969234202482484
2042,3099396.3,-0.11364751647129243,-0.005302212269510662,-0.1947188766217061,-0.0005112828582897226,-0.3141798882207989
2043,3099396.325,-0.11042493076914409,-0.0040189062274103085,-0.1796001876235096,-0.0003874799492599829,-0.29443150456932393
2044,3099396.35,-0.10961564457185637,-0.0030463421134422682,-0.16565203839076387,-0.00029365488918612725,-0.27860767996524866
2045,3099396.375,-0.11017916884472154,-0.002309276343674861,-0.15278430193015533,-0.00022254879013308985,-0.26549529590868487
2046,3099396.4,-0.11146243079555357,-0.0017506849447527523,-0.14091371536486422,-0.00016866044403546576,-0.254295491549206
2047,3099396.425,-0.11306400435073923,-0.0013273518261245282,-0.12996336856210172,-0.00012782071458779386,-0.24448254545355327
2048,3099396.45,-0.114744559642158,-0.0010065253156066802,-0.11986222911422803,-9.686998728426932e-05,-0.235710184059277
2049,3099396.475,-0.11636802963865665,-0.0007633842871120729,-0.110544701358544,-7.341372229653181e-05,-0.22774952900660925
2050,3099396.5,-0.11786315063524296,-0.0005791178446682359,-0.10195021722933852,-5.5637197533272464e-05,-0.22044812290678298
2051,3099396.525,-0.12091839391210578,-0.0004394699949361912,-0.0940228568382472,-4.216511102422964e-05,-0.2154228858563134
2052,3099396.55,-0.11364940150133697,-0.00033363671527799065,-0.08671099678726403,-3.195517863158526e-05,-0.20072599018251058
2053,3099396.575,-0.11042681579918742,-0.0002534300876558042,-0.07996698432780208,-2.4217496836430533e-05,-0.19067144771148173
2054,3099396.6,-0.10961752960190127,-0.00019264483052951965,-0.07374683558232564,-1.8353430558769748e-05,-0.18357536344531522
2055,3099396.625,-0.11018105387476687,-0.00014657821991656198,-0.0680099561524258,-1.3909299429407725e-05,-0.17835149754653865
2056,3099396.65,-0.11146431582559867,-0.00011166625748206426,-0.06271888253619448,-1.0541277725331003e-05,-0.17430540589700053
2057,3099396.675,-0.11306588938078374,-8.520793756636955e-05,-0.05783904287754693,-7.988794642533113e-06,-0.17099812899053957
2058,3099396.7,-0.11474644467220133,-6.515628066805387e-05,-0.05333853566161145,-6.054374209107633e-06,-0.16815619098868995
2059,3099396.725,-0.11636991466870154,-4.995996638386344e-05,-0.04918792506148943,-4.588357685782047e-06,-0.16561238805426062
2060,3099396.75,-0.11786503566528829,-3.844331372864792e-05,-0.04536005172791829,-3.4773248112623215e-06,-0.16326700803174649
2061,3099396.775,-0.12092027894215086,-2.971532311852358e-05,-0.04182985789220646,-2.6353194466959545e-06,-0.16278248747692253
2062,3099396.8,-0.1136512865313815,-2.3100743138446405e-05,-0.03857422573128119,-1.997198660633278e-06,-0.1522506102044618
2063,3099396.825,-0.11042870082923074,-1.808782892112968e-05,-0.03557182801684049,-1.5135935369137053e-06,-0.14602013026852928
2064,3099396.85,-0.10961941463194617,-1.4288750347471737e-05,-0.03280299013505915,-1.147089452171918e-06,-0.14243784060680495
2065,3099396.875,-0.1101829389048122,-1.1409587181669419e-05,-0.0302495626330377,-8.693312181787837e-07,-0.14044478045624975
2066,3099396.9,-0.11146620085564375,-9.227589527642882e-06,-0.027894803503706038,-6.588298309475821e-07,-0.13937089077870837
2067,3099396.925,-0.11306777441082828,-7.573944531483483e-06,-0.025723269477553656,-4.992996805215228e-07,-0.13879911713259394
2068,3099396.95,-0.11474832970224466,-6.320715984398635e-06,-0.023720715647315562,-3.783983995916295e-07,-0.1384757444639442
2069,3099396.975,-0.11637179969874646,-5.370946338378273e-06,-0.02187400279244052,-2.8677231695336984e-07,-0.1382514602098423
2070,3099397.0,-0.11786692069533362,-4.6511555449337235e-06,-0.020171011824797965,-2.1733278918149267e-07,-0.1380428010084657
